primaryTitle	originalTitle	isAdult	startYear	endYear	runtimeMinutes	genres
Feira de Gado na Corujeira	Feira de Gado na Corujeira	0	1896	\N	1	Documentary,Short
La gare Saint-Lazare	La gare Saint-Lazare	0	1896	\N	\N	Documentary,Short
Grandes manoeuvres	Grandes manoeuvres	0	1896	\N	\N	Documentary,Short
Towing a Boat on the River	Les haleurs de bateaux	0	1896	\N	\N	Documentary,Short
A Hard Wash	A Hard Wash	0	1896	\N	\N	Comedy,Short
Les indiscrets	Les indiscrets	0	1896	\N	\N	Short
Les ivrognes	Les ivrognes	0	1896	\N	\N	Short
Gardener Burning Weeds	Jardinier brûlant des herbes	0	1896	\N	\N	Short
Beach and Pier at Trouville, 1st part	Jetée et plage de Trouville (1er partie)	0	1896	\N	\N	Documentary,Short
Beach and Pier at Trouville, 2nd part	Jetée et plage de Trouville (2e partie)	0	1896	\N	\N	Documentary,Short
Market Day	Jour de marché à Trouville	0	1896	\N	\N	Documentary,Short
Leaving Jerusalem by Railway	Départ de Jérusalem en chemin de fer	0	1897	\N	1	Documentary,Short
Libération des territoriaux	Libération des territoriaux	0	1896	\N	\N	Documentary,Short
The House of the Devil	Le manoir du diable	0	1896	\N	3	Horror,Short
Marée montante sur Brise-Larmes	Marée montante sur Brise-Larmes	0	1896	\N	\N	Documentary,Short
Melbourne	Melbourne	0	1896	\N	\N	Documentary,Short
Miss de Vere	Miss de Vere	0	1896	\N	\N	Short
The Mysterious Paper	Le papier protée	0	1896	\N	\N	Short
Place Saint-Augustin	Place Saint-Augustin	0	1896	\N	\N	Documentary,Short
Place de l'Opéra, First View	Place de l'Opéra, 1er aspect	0	1896	\N	\N	Documentary,Short
Place de l'Opéra, Second View	Place de l'Opéra, 2e aspect	0	1896	\N	\N	Documentary,Short
Place de la Bastille	Place de la Bastille	0	1896	\N	\N	Documentary,Short
Place de la Concorde	Place de la Concorde	0	1896	\N	\N	Documentary,Short
Place du théâtre français	Place du théâtre français	0	1896	\N	\N	Documentary,Short
The Beach at Villiers in a Gale	Plage de Villiers par gros temps	0	1896	\N	\N	Short
Smarter than the Teacher	Plus fort que le maître	0	1896	\N	\N	Short
Pompiers à Lyon	Pompiers à Lyon	0	1896	\N	1	Documentary,Short
The Docks at Marseilles	Les quais à Marseille	0	1896	\N	\N	Documentary,Short
Retour au cantonnement	Retour au cantonnement	0	1896	\N	\N	Short
Naval Review at Cherburg	Revue navale à Cherbourg	0	1896	\N	\N	Documentary,Short
